Nets,Accuracy
BaseModel,0.8538306355476379
InceptionV3,0.9959677457809448
ResNet101V2,0.9979838728904724
VGG19,0.9526209831237793
VGG16,0.9425403475761414
MobileNetV2,0.9778226017951965
DenseNet201,0.9949596524238586
